-30, 232.17
-20, 227.89
-10, 217.97
0, 217.81
10, 74.53
20, 29.27
30, 28.3
40, 28.27
50, 29.15
60, 32.29
70, 64.96
80, 261.77
90, 263.9
100, 35.23
110, 33.43
120, 34.24
130, 33.81
